actor_id,actor_name
920,Kainaz Motivala
921,Rajat Kaul
922,Janice
923,Shernaza
924,Mangala Ahire
925,Vinod Rawat
926,Sunny Leone
927,Saahil Prem
928,Parvin Dabas
929,Sandhya Mridul
930,Divya Dutta
931,Soniya Mehra
932,Karan Mehra
933,Amitabh Bachchan
934,Arbaaz Khan
935,Abhishek Bachchan
936,Rohit Roy
937,Dia Mirza
938,Amrita Singh
939,Sendhil Ramamurthy
940,Nikhil Dwivedi
941,Preeti Desai
942,Sundeep Kishan
943,Radhika Apte
944,Girija Oak
945,Alok Chaturvedi
946,Sudhir Chowdhary
947,Vidya Balan
948,Naseeruddin Shah
949,Rajesh Sharma
950,Imran Hasnee
951,Anju Mahendru
952,Kofi Siriboe
953,Yootha Wong-Loi-Sing
954,Michael Ealy
955,Uzo Aduba
956,Luke Bracey
957,Olga Kurylenko
958,Eliza Taylor
959,Caterina Scorsone
960,Bill Smitrovich
961,Will Patton
962,Amila Terzimehic
963,Lazar Ristovski
964,Mediha Musliovic
965,Brigitte Kali Canales
966,Andrea Cortes
967,Julia Vera
968,Sal Lopez
969,David Oyelowo
970,Rosario Dawson
971,Lonnie Chavis
972,Amiah Miller
973,Alfred Molina
974,Jason Momoa
975,Isabela Merced
976,Manuel Garcia-Rulfo
977,Amy Brenneman
978,Adria Arjona
979,Raza Jaffrey
980,Justin Bartha
981,Lex Scott Davis
982,Michael Raymond-James
983,Anton Yelchin
984,Felicity Jones
985,Jennifer Lawrence
986,Charlie Bewley
987,Alex Kingston
988,Oliver Muirhead
989,Finola Hughes
990,Chris Messina
991,Ben York Jones
992,Jamie Thomas King
993,Arvind Swamy
994,Manisha Koirala
995,Nasser
996,Raja Krishnamoorthy
997,Anmol Limbu
998,Ishika Gurung
999,Manju Chettri
1000,Banita Lagun
1001,Binod Pradhan
1002,Mahindra Bajgai
1003,Rupa Tamang
1004,Saran Rai
1005,Elizabeth Banks
1006,James Marsden
1007,Gillian Jacobs
1008,Sarah Wright
1009,Ethan Suplee
1010,Bill Burr
1011,Ken Davitian
1012,Lawrence Gilliard Jr.
1013,Alphonso Mcauley
1014,Da'Vone McDonald
1015,John Marsden
1016,Willie Garson
1017,Oliver Hudson
1018,P.J. Byrne
1019,Holly Hunter
1020,Harvey Keitel
1021,Sam Neill
1022,Anna Paquin
1023,Kerry Walker
1024,Genevieve Lemon
1025,Tungia Baker
1026,Ian Mune
1027,John David Washington
1028,Boyd Holbrook
1029,Alicia Vikander
1030,Vicky Krieps
1031,Lena Kitsopoulou
1032,Panos Koronis
1033,Maria Votti
1034,Finnegan Oldfield
1035,Nicolas Duvauchelle
1036,Guillaume Gouix
1037,Garance Marillier
1038,Nailia Harzoune
1039,Diana Gómez
1040,Silma López
1041,Paula Malia
1042,Teresa Riott
1043,Maxi Iglesias
1044,Ibrahim Al Shami
1045,Lokillo Florez
1046,Ben Rausch
1047,Erica Lindbeck
1048,Dante Basco
1049,Brando Eaton
1050,Stephen Kramer Glickman
1051,Caroline Caliston
1052,G.K. Bowes
1053,Dan McCoy
1054,Mike Ezuruonye
1055,Juliet Ochienge
1056,Angela Okorie
1057,Huddah Monroe
1058,Catherine Kamau
1059,Naomi Mburu
1060,Derrick Aduwo
1061,Chris Kamau
1062,Abubakar Salum
1063,Celebrity Landlord
1064,Ximena Romo
1065,Mabel Cadena
1066,Alejandra Herrera
1067,Nelly González
1068,Samantha Orozco
1069,Axel Arenas
1070,Esteban Caicedo
1071,Paulina Goto
1072,Raquel Robles
1073,Baby Bátiz
1074,Pascacio López
1075,Juán Carlos Torres
1076,Javier Oliván
1077,Claudia Lobo
1078,Giovanna Zacarías
1079,Joey King
1080,Joel Courtney
1081,Jacob Elordi
1082,Molly Ringwald
1083,Taylor Zakhar Perez
1084,Maisie Richardson-Sellers
1085,Meganne Young
1086,Stephen Jennings
1087,Colin Firth
1088,Stellan Skarsgård
1089,Sam Reid
1090,Hiroyuki Sanada
1091,Michael MacKenzie
1092,Tom Stokes
1093,Maggie Smith
1094,Tom Courtenay
1095,Pauline Collins
1096,Michael Gambon
1097,Andrew Sachs
1098,Sheridan Smith
1099,David Ryall
1100,Trevor Peacock
1101,Gwyneth Jones
1102,Enhle Mbali
1103,Ramsey Nouah
1104,Dawn Thandeka Kang
1105,Idris Sultan
1106,Tumi Morake
1107,Trevor Gumbi
1108,Lillian Dube
1109,Kaly Bossy Asante
1110,Shaleen Surtie
1111,Fabian Lojege
1112,Alain Uy
1113,Mykel Shannon Jenkins
1114,Jae Suh Park
1115,Matthew Page
1116,Joziah Lagonoy
1117,Raymond Ma
1118,Suriya
1119,Vijay Sethupathi
1120,Revathy
1121,Prakash Raj
1122,Siddarth
1123,Parvathy
1124,Delhi Ganesh
1125,Gautham Vasudev Menon
1126,Anjali
1127,Yogi Babu
1128,Aditi Balan
1129,Remya Nambeesan
1130,Poorna
1131,Prayaga Martin
